kettle_accuracy,kettle_precision,kettle_recall,kettle_f1,toaster_accuracy,toaster_precision,toaster_recall,toaster_f1,microwave_accuracy,microwave_precision,microwave_recall,microwave_f1,dishwasher_accuracy,dishwasher_precision,dishwasher_recall,dishwasher_f1,fridge_accuracy,fridge_precision,fridge_recall,fridge_f1,washing_machine_accuracy,washing_machine_precision,washing_machine_recall,washing_machine_f1,epoch,train_loss
0.8717084046103367,0.0,0.0,0.0,0.7894921338231583,0.0,0.0,0.0,0.8272564974079033,0.0,0.0,0.0,,0.0,0.0,0.0,0.5826548057586698,0.5208870551830841,0.7448377581120944,0.6130500758725341,0.6968637274549099,0.15580568720379148,0.8766666666666667,0.26458752515090544,1,0.49309504866600035
0.8741551922375839,0.0,0.0,0.0,0.8132869682268151,0.0,0.0,0.0,0.8627905379888077,0.0,0.0,0.0,,0.0,0.0,0.0,0.5900965723082852,0.5288862418106015,0.6548672566371682,0.585172981878089,0.7017962591850366,0.17263843648208468,0.8833333333333333,0.2888283378746594,2,0.4563261995145253
0.8766370341288314,0.0,0.0,0.0,0.8076151883115062,0.08888888888888889,0.07692307692307693,0.08247422680412371,0.8488515810073128,0.0,0.0,0.0,,0.0,0.0,0.0,0.5814338148624187,0.5657254138266796,0.4284660766961652,0.48762064624422996,0.720995323981296,0.16901408450704225,0.84,0.2814070351758794,3,0.4473709966455187
0.8808435458089122,0.0,0.0,0.0,0.8362054460304552,0.15,0.28846153846153844,0.19736842105263158,0.854001441961067,0.0,0.0,0.0,,0.0,0.0,0.0,0.578410677277116,0.512042818911686,0.8466076696165191,0.6381322957198443,0.7261122244488978,0.1651031894934334,0.88,0.27804107424960506,4,0.44698112887995584
0.8740991054151827,0.07407407407407407,0.11538461538461539,0.09022556390977443,0.8451863484674276,0.15602836879432624,0.4230769230769231,0.22797927461139897,0.8634256875064373,0.0,0.0,0.0,,0.0,0.0,0.0,0.6020230781372676,0.5618964003511853,0.471976401179941,0.5130260521042084,0.7284849699398798,0.16087212728344136,0.91,0.27341011517275915,5,0.4421710636786052
0.8853234807481983,0.16666666666666666,0.057692307692307696,0.08571428571428572,0.8465534647634538,0.13186813186813187,0.46153846153846156,0.20512820512820512,0.8568681978919903,0.0,0.0,0.0,,0.0,0.0,0.0,0.6012474350222725,0.5486918604651163,0.5567846607669616,0.5527086383601757,0.7382444889779558,0.17945109078114005,0.85,0.2963393375944218,6,0.4393020758458546
0.8894388513418773,0.18181818181818182,0.07692307692307693,0.10810810810810811,0.842963908129785,0.17272727272727273,0.36538461538461536,0.2345679012345679,0.8704638308099015,0.0,0.0,0.0,,0.0,0.0,0.0,0.6024064154679688,0.5475113122171946,0.5353982300884956,0.5413870246085011,0.7475537742150968,0.16845425867507888,0.89,0.28328912466843503,7,0.4370079622098378
0.8824069659833422,0.07272727272727272,0.23076923076923078,0.11059907834101383,0.844064612019406,0.12903225806451613,0.15384615384615385,0.14035087719298245,0.8706869914512309,0.0,0.0,0.0,,0.0,0.0,0.0,0.6003165095393597,0.521306032097399,0.6946902654867256,0.5956370534302877,0.6852424849699399,0.16068167985392576,0.88,0.2717447246525991,8,0.4348938228402819
0.8963795956140105,0.1111111111111111,0.019230769230769232,0.03278688524590164,0.8556465408452285,0.1340782122905028,0.46153846153846156,0.2077922077922078,0.8554262368249391,0.0,0.0,0.0,,0.0,0.0,0.0,0.6105190223463115,0.5580736543909348,0.5811209439528023,0.569364161849711,0.7312665330661323,0.20470383275261325,0.7833333333333333,0.324585635359116,9,0.4340699413844517
0.900733335202894,0.21428571428571427,0.057692307692307696,0.09090909090909091,0.8585490339044841,0.12955465587044535,0.6153846153846154,0.2140468227424749,0.8686957118824459,0.0,0.0,0.0,,0.0,0.0,0.0,0.6119849801464061,0.5376914016489989,0.6733038348082596,0.5979043876882777,0.7532077488309954,0.18620178041543026,0.8366666666666667,0.30461165048543687,10,0.42795026191643304
