kettle_accuracy,kettle_precision,kettle_recall,kettle_f1,toaster_accuracy,toaster_precision,toaster_recall,toaster_f1,microwave_accuracy,microwave_precision,microwave_recall,microwave_f1,dishwasher_accuracy,dishwasher_precision,dishwasher_recall,dishwasher_f1,fridge_accuracy,fridge_precision,fridge_recall,fridge_f1,washing_machine_accuracy,washing_machine_precision,washing_machine_recall,washing_machine_f1,epoch,train_loss
0.844569905766642,0.0,0.0,0.0,0.8818096313017306,0.0,0.0,0.0,0.8672348190712844,0.14563106796116504,0.3191489361702128,0.2,0.8308062999529855,0.158953722334004,0.7053571428571429,0.2594417077175698,0.560834472600687,0.6062639821029083,0.22715842414082146,0.3304878048780488,0.6459899891713428,0.14741275571600482,0.914179104477612,0.2538860103626943,1,0.6119235132421766
0.8664386384241325,0.0,0.0,0.0,0.8763732129420616,0.0,0.0,0.0,0.9117487187451467,0.15346534653465346,0.6595744680851063,0.24899598393574296,0.8387148230237088,0.17873303167420815,0.7053571428571429,0.2851985559566787,0.5410741274387401,0.5331010452961672,0.7694886839899413,0.6298456260720412,0.6516314924615886,0.15290269828291086,0.6977611940298507,0.25083836351441985,2,0.5690777279436589
0.8757246078188962,0.0,0.0,0.0,0.8889766741911211,0.0,0.0,0.0,0.9110401459854014,0.29850746268656714,0.425531914893617,0.3508771929824561,0.8692029350527235,0.15097690941385436,0.7589285714285714,0.2518518518518518,0.5655637009387136,0.5485875706214689,0.8139145012573344,0.6554168072899089,0.6515254776346577,0.15233160621761657,0.5485074626865671,0.2384428223844282,3,0.5631297850183078
0.8695705925986978,0.16129032258064516,0.15151515151515152,0.15625,0.8924943566591422,0.0,0.0,0.0,0.9074293368535487,0.3333333333333333,0.2978723404255319,0.3146067415730337,0.8584357579421049,0.16666666666666666,0.7142857142857143,0.2702702702702703,0.5666375238605056,0.6328125,0.2715842414082146,0.38005865102639297,0.6544295266437977,0.16082659478885894,0.667910447761194,0.25923244026068065,4,0.5502063821469034
0.8755185582021484,0.13333333333333333,0.24242424242424243,0.17204301075268819,0.8823175319789316,0.0,0.0,0.0,0.9042650256250971,0.11333333333333333,0.723404255319149,0.19596541786743515,0.8723470347236215,0.15863453815261044,0.7053571428571429,0.25901639344262295,0.5571498175302394,0.6177715091678421,0.3671416596814753,0.4605678233438486,0.6985241221593705,0.16521048451151707,0.7761194029850746,0.2724296005239031,5,0.5501526434506688
0.883279760432979,0.20588235294117646,0.21212121212121213,0.208955223880597,0.8971030850263356,0.14634146341463414,0.25,0.18461538461538463,0.9209213387171922,0.3055555555555556,0.46808510638297873,0.3697478991596639,0.8895283430720666,0.17254901960784313,0.7857142857142857,0.2829581993569132,0.584892914211165,0.6038751345532831,0.4702430846605197,0.528746465598492,0.6874190690383698,0.17128279883381925,0.8768656716417911,0.2865853658536585,6,0.5347199574112892
0.8725789170032144,0.16279069767441862,0.21212121212121213,0.18421052631578946,0.8989089541008277,0.15789473684210525,0.25,0.1935483870967742,0.9193003571983227,0.25925925925925924,0.44680851063829785,0.328125,0.8924289744106388,0.2596491228070175,0.6607142857142857,0.37279596977329976,0.5900697023266697,0.586414445399828,0.5716680637049455,0.5789473684210527,0.7090214831474289,0.16699933466400532,0.9365671641791045,0.2834556747600226,7,0.5325049456741129
0.8788290887112283,0.23076923076923078,0.18181818181818182,0.2033898305084746,0.8929834462001505,0.109375,0.2916666666666667,0.1590909090909091,0.9214551949060412,0.40816326530612246,0.425531914893617,0.4166666666666667,0.8700676674054671,0.252212389380531,0.5089285714285714,0.33727810650887574,0.583006912534719,0.5580304806565064,0.7979882648784576,0.6567781993790962,0.6941642624018416,0.16911250873515024,0.9029850746268657,0.28487345497351385,8,0.5321999379566738
0.8879364817714772,0.2,0.21212121212121213,0.20588235294117646,0.8867381489841988,0.08181818181818182,0.375,0.13432835820895522,0.9266966920329244,0.2972972972972973,0.46808510638297873,0.36363636363636365,0.9076583383706092,0.26732673267326734,0.7232142857142857,0.39036144578313253,0.6042637982238648,0.6659142212189616,0.24727577535624476,0.3606356968215159,0.7323314932188374,0.17417417417417416,0.8656716417910447,0.29,9,0.5204402382884706
0.877510371164043,0.1276595744680851,0.18181818181818182,0.15,0.8737208427389015,0.09803921568627451,0.20833333333333334,0.13333333333333333,0.909972433607703,0.32558139534883723,0.2978723404255319,0.3111111111111111,0.8960432198267176,0.20048309178743962,0.7410714285714286,0.3155893536121673,0.6027656549758871,0.6174004192872118,0.49371332774518023,0.5486725663716814,0.7049910266021491,0.17664897649734648,0.8694029850746269,0.29363579080025204,10,0.5246953869504588
